name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
ARC Raiders,"Steam, Epic Games",2025-10-30,3.29,4,15,303,17,"PC, PlayStation, Xbox",Action
The First Berserker: Khazan,"Steam, PlayStation Store, Xbox Store",2025-03-27,3.68,4,20,320,22,"PC, PlayStation, Xbox",Action
Hell is Us,Steam,2025-09-04,3.27,4,15,192,15,"PC, PlayStation, Xbox","Adventure, Action"
Little Nightmares III,Steam,2025-10-09,3.5,5,17,108,18,"PC, PlayStation, Xbox, Nintendo","Arcade, Adventure"
Little Witch in the Woods,Steam,2025-09-15,3.6,4,9,43,10,"PC, PlayStation, Apple Macintosh, Nintendo","Indie, Adventure, RPG, Simulation"
Blue Prince,"Steam, PlayStation Store",2025-04-10,4.2,5,42,171,45,"PC, PlayStation, Xbox","Indie, Strategy, Adventure, Puzzle"
Cronos: The New Dawn,"Steam, GOG",2025-09-04,3.89,4,34,79,35,"PC, PlayStation, Xbox, Linux","Adventure, Action"
Atomfall,"Steam, Epic Games",2025-03-27,3.48,4,23,67,23,"PC, PlayStation, Xbox","Adventure, Action, RPG"
Borderlands 4,Steam,2025-09-12,3.42,5,12,0,12,"PC, PlayStation, Xbox","Adventure, Action, RPG"
Dispatch,itch.io,2025-10-22,4.76,5,51,185,54,"PC, PlayStation","Adventure, Action, Casual, Strategy, Indie"
Wuchang: Fallen Feathers,"Steam, PlayStation Store",2025-07-23,3.59,4,27,58,29,"PC, PlayStation, Xbox","Adventure, Action, RPG"
Atomic Heart: Annihilation Instinct,"Steam, PlayStation Store",2025-01-28,3.62,4,56,570,58,"PC, PlayStation, Xbox",Shooter
FragPunk,Steam,2025-03-06,3.2,4,15,545,15,PC,Action
Battlefield 6,"Steam, PlayStation Store",2025-10-10,4.27,5,29,268,30,"PC, PlayStation, Xbox","Shooter, Action"
Dying Light: The Beast,Steam,2025-09-18,3.91,4,18,189,22,"PC, PlayStation, Xbox","Shooter, Adventure, Action, RPG"
S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanced Edition,Steam,2025-05-20,3.63,4,19,121,19,PC,"Adventure, Action, RPG"
Lost Records: Bloom & Rage,"Steam, PlayStation Store, Xbox Store",2025-02-18,3.25,4,34,226,36,"PC, PlayStation, Xbox","Indie, Adventure"
Abiotic Factor,"Steam, PlayStation Store",2025-07-22,3.86,4,19,250,22,PC,"Shooter, Adventure, Action, RPG, Simulation"
DRAGON BALL: Sparking! ZERO,Steam,2025-10-10,4.6,5,10,203,10,"PC, PlayStation, Xbox, Nintendo","Action, Fighting"
Ninja Gaiden 2 Black,Steam,2025-01-23,3.64,4,22,261,22,"PC, PlayStation","Adventure, Action"
Dune: Awakening,Steam,2025-06-10,3.2,4,8,465,10,"PC, PlayStation, Xbox","Massively Multiplayer, Adventure, Action, RPG"
The Rogue Prince of Persia,Steam,2025-08-20,3.55,4,18,128,20,"PC, PlayStation","Adventure, Action"
S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition,Steam,2025-05-20,3.5,4,14,167,14,PC,"Adventure, Action, RPG"
Lost Soul Aside,Steam,2025-08-28,3.25,4,10,135,12,"PC, PlayStation","Indie, Adventure, Action, RPG"
Where Winds Meet,Steam,2025-11-14,4.29,4,4,248,7,"PC, PlayStation","Adventure, Action, RPG"
Like a Dragon: Pirate Yakuza in Hawaii,Steam,2025-02-21,3.64,4,11,251,11,"PC, PlayStation, Xbox","Action, RPG"
Elden Ring Nightreign,Steam,2025-05-30,3.88,4,36,267,43,"PC, PlayStation, Xbox","Action, RPG"
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,Steam,2025-05-20,3.15,4,13,293,13,PC,"Adventure, Action, RPG"
Lies of P: Overture,,2025-06-07,4.33,5,19,65,21,"PC, PlayStation, Xbox","Action, RPG"
Sword of the Sea,Steam,2025-08-19,4.29,4,16,32,17,"PC, PlayStation","Indie, Adventure"
Ninja Gaiden 4,Steam,2025-10-21,4.07,5,26,264,27,"PC, Xbox","Adventure, Action"
Keep Driving,Steam,2025-02-06,3.43,4,14,467,14,PC,"Adventure, RPG, Casual, Simulation, Indie"
Marvel's Spider-Man 2 PC Port,"Steam, Epic Games",2025-01-30,3.95,5,20,71,21,PC,"Adventure, Action"
Schedule I,Steam,2025-03-24,3.66,4,30,335,32,PC,"Strategy, Indie, Action, Simulation"
AI Limit,"Steam, PlayStation Store, Epic Games",2025-03-27,4.0,4,18,149,19,"PC, PlayStation","Indie, Action"
The Precinct,Steam,2025-05-13,3.39,4,16,245,18,PC,"Adventure, Action, Arcade, Simulation, Indie"
Ender Magnolia: Bloom in the Mist,Steam,2025-01-22,4.0,4,9,294,9,PC,"Action, RPG"
inZOI,Steam,2025-03-28,2.67,3,21,405,21,PC,"Casual, Adventure, Simulation"
Sid Meier’s Civilization VII,Steam,2025-02-10,3.44,4,16,13,16,"PC, PlayStation, Xbox, Apple Macintosh, Linux, Nintendo","Strategy, Simulation"
Donkey Kong Bananza,Nintendo Store,2025-07-17,4.31,5,16,59,16,Nintendo,Adventure
Eriksholm: The Stolen Dream,"Steam, GOG",2025-07-14,4.08,5,13,56,13,"PC, PlayStation, Xbox","Strategy, Adventure, Action"
Titan Quest 2,Steam,2025-08-01,0.0,4,5,208,5,"PC, PlayStation, Xbox","Action, RPG"
Party Club,Steam,2025-03-17,0.0,0,2,407,2,"PC, Apple Macintosh","Casual, Action, Simulation"
Mandragora: Whispers of the Witch Tree,"Steam, GOG",2025-04-16,3.17,3,11,492,12,"PC, PlayStation, Xbox, Nintendo","Indie, Action, RPG"
Mario Kart World,,2025-06-05,4.17,5,23,37,23,Nintendo,"Racing, Action"
Deliver At All Costs,"Steam, GOG",2025-05-22,3.5,4,10,637,10,PC,"Adventure, Action"
Dynasty Warriors: Origins,Steam,2025-01-16,3.7,4,10,365,10,PC,"Strategy, Action, RPG"
Eternal Strands,"Steam, GOG",2025-01-27,0.0,0,4,394,4,"PC, PlayStation, Xbox","Adventure, Action"
A Game About Digging A Hole,"Steam, GOG",2025-02-06,3.86,4,19,47,21,PC,"Casual, Indie, Adventure, Simulation"
Pathologic 3: Quarantine,Steam,2025-03-17,4.0,5,14,0,14,PC,"Indie, Adventure, RPG, Simulation"
MindsEye,"Steam, PlayStation Store, Xbox Store, Epic Games",2025-06-10,1.74,1,18,342,19,"PC, PlayStation, Xbox","Shooter, Adventure, Action"
Mortal Sin,"Steam, GOG",2025-08-28,3.83,4,5,429,6,PC,"Indie, Action, RPG"
Sniper Elite: Resistance,Steam,2025-01-30,3.08,4,13,550,13,"PC, PlayStation, Xbox","Shooter, Adventure, Action"
Gears of War: Reloaded,Steam,2025-08-26,2.69,1,12,0,13,"PC, PlayStation, Xbox","Shooter, Action"
The Midnight Walk,Steam,2025-05-08,4.22,4,7,211,9,PC,"Indie, Adventure"
Tempest Rising,Steam,2025-04-17,4.18,4,10,629,11,PC,"Strategy, Action"
