Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
The Incredible Hulk: The Pantheon Saga,PS,1996,Action,Eidos Interactive,0.09,0.06,0.0,0.01,0.16,False
The Idolm@ster 2,PS3,2011,Misc,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,False
Monster House,DS,2006,Adventure,THQ,0.14,0.0,0.0,0.01,0.16,True
Dynasty Warriors 8: Xtreme Legends,PS3,2013,Action,Tecmo Koei,0.02,0.02,0.11,0.01,0.16,True
Godzilla Unleashed,WII,2007,Fighting,Atari,0.14,0.0,0.0,0.01,0.16,False
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0.0,0.02,0.16,True
Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011,Action,Marvelous Interactive,0.0,0.0,0.16,0.0,0.16,False
Ener-G Horse Riders,DS,2008,Sports,Ubisoft,0.14,0.01,0.0,0.01,0.16,False
He-Man: Power of Grayskull,GBA,2002,Action,TDK Mediactive,0.11,0.04,0.0,0.0,0.16,False
Sherlock Holmes vs. Jack the Ripper,X360,2009,Adventure,Focus Home Interactive,0.11,0.03,0.0,0.01,0.16,False
Sniper: Ghost Warrior,PC,2010,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16,True
Rondo of Swords (US sales),DS,2007,Role-Playing,Success,0.16,0.0,0.0,0.0,0.16,False
Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,0.09,0.06,0.0,0.01,0.16,True
Wing Commander III: Heart of the Tiger,PS,1996,Action,Electronic Arts,0.09,0.06,0.0,0.01,0.16,False
Imagine: Music Fest,DS,2009,Simulation,Ubisoft,0.14,0.0,0.0,0.01,0.16,False
Mat Hoffman's Pro BMX 2,GBA,2002,Sports,Activision,0.11,0.04,0.0,0.0,0.16,True
Fist of the North Star: Ken's Rage,X360,2010,Action,Ubisoft Annecy,0.07,0.02,0.06,0.01,0.16,True
Chaotic: Shadow Warriors,X360,2009,Action,Activision,0.14,0.0,0.0,0.01,0.16,True
Muppet RaceMania,PS,1999,Racing,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.15,False
Namco Museum Vol.5,PS,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.12,0.01,0.15,False
Courier Crisis,PS,1997,Racing,BMG Interactive Entertainment,0.09,0.06,0.0,0.01,0.15,False
Digimon Battle Spirit 2,GBA,2003,Fighting,Namco Bandai Games,0.11,0.04,0.0,0.0,0.15,False
Winning Post 3,PS,1998,Racing,Tecmo Koei,0.0,0.0,0.14,0.01,0.15,False
Just Sing!,DS,2009,Misc,DTP Entertainment,0.14,0.0,0.0,0.01,0.15,False
Driven,PS2,2001,Racing,BAM! Entertainment,0.08,0.06,0.0,0.02,0.15,True
James Noir's Hollywood Crimes,3DS,2011,Adventure,Ubisoft,0.07,0.07,0.0,0.01,0.15,False
"Warhammer 40,000: Fire Warrior",PS2,2003,Shooter,THQ,0.08,0.06,0.0,0.02,0.15,False
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,True
Lufia: Curse of the Sinistrals,DS,2010,Role-Playing,Square Enix,0.11,0.0,0.03,0.01,0.15,False
MTV Music Generator 2,PS2,2001,Misc,Codemasters,0.08,0.06,0.0,0.02,0.15,False
Mugen Souls,PS3,2012,Role-Playing,Nippon Ichi Software,0.04,0.02,0.08,0.01,0.15,False
Ultimate Spider-Man,DS,2005,Action,Activision,0.14,0.0,0.0,0.01,0.15,True
Major League Baseball 2K13,PS3,2013,Sports,Take-Two Interactive,0.14,0.0,0.0,0.02,0.15,True
Saw II: Flesh & Blood,X360,2010,Action,Konami Digital Entertainment,0.1,0.04,0.0,0.01,0.15,True
Burnout 2: Point of Impact,GC,2003,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,True
Paris-Dakar Rally,PS2,2001,Racing,Acclaim Entertainment,0.08,0.06,0.0,0.02,0.15,False
Bakugan Battle Brawlers: Defenders of the Core,PSP,2010,Action,Activision,0.09,0.04,0.0,0.03,0.15,True
MotionSports: Adrenaline,PS3,2011,Sports,Ubisoft,0.08,0.05,0.0,0.02,0.15,True
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,0.08,0.06,0.0,0.02,0.15,False
Blinx 2: Masters of Time & Space,XB,2004,Platform,Microsoft Game Studios,0.12,0.03,0.0,0.01,0.15,False
F.E.A.R. 3,PC,2011,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0.0,0.03,0.15,True
Chessmaster: The Art of Learning,DS,2007,Misc,Ubisoft,0.12,0.03,0.0,0.01,0.15,True
My Baby 3 & Friends,DS,2010,Simulation,Majesco Entertainment,0.12,0.02,0.0,0.01,0.15,False
Tak: The Great Juju Challenge,GC,2005,Platform,THQ,0.12,0.03,0.0,0.0,0.15,True
Fantasia: Music Evolved,XONE,2014,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,True
Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,False
Knockout Kings 2003,GC,2002,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15,False
Bomberman,PSP,2006,Puzzle,Konami Digital Entertainment,0.14,0.0,0.0,0.01,0.15,True
NCAA Football 2004,GC,2003,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15,True
XGIII: Extreme G Racing,GC,2001,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,True
Digimon World 4,PS2,2005,Role-Playing,Atari,0.08,0.06,0.0,0.02,0.15,True
Stormrise,X360,2009,Strategy,Sega,0.11,0.03,0.0,0.01,0.15,True
Scripps Spelling Bee,DS,2010,Simulation,THQ,0.14,0.0,0.0,0.01,0.15,False
Major League Baseball 2K11,WII,2011,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,True
"Go, Diego, Go! Safari Rescue",DS,2007,Adventure,Take-Two Interactive,0.14,0.01,0.0,0.01,0.15,False
Disney's Story Studio: Disney's Mulan,PS,1999,Misc,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.15,False
Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0.0,0.0,0.15,False
Klax,2600,1989,Puzzle,Atari,0.14,0.01,0.0,0.0,0.15,False
Saturn Bomberman,SAT,1996,Puzzle,Sega,0.0,0.0,0.15,0.0,0.15,False
The Godfather: Blackhand Edition,WII,2007,Adventure,Electronic Arts,0.14,0.0,0.0,0.01,0.15,False
Wolfenstein: The Old Blood,XONE,2015,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,True
Jikkyou Powerful Pro Yakyuu Portable,PSP,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,False
Dragon's Lair Trilogy,WII,2010,Adventure,Destineer,0.14,0.0,0.0,0.01,0.15,False
Naruto: Powerful Shippuden,3DS,2012,Platform,Namco Bandai Games,0.08,0.02,0.04,0.01,0.15,False
American Chopper,XB,2004,Racing,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,True
The Adventures of Tintin: The Game,3DS,2011,Action,Ubisoft,0.05,0.09,0.0,0.02,0.15,True
Dynasty Warriors 8,X360,2013,Action,Tecmo Koei,0.09,0.05,0.0,0.01,0.15,True
Bust-A-Move Bash!,WII,2007,Puzzle,505 Games,0.13,0.01,0.0,0.01,0.15,False
Kingdom Under Fire: Heroes,XB,2005,Strategy,Deep Silver,0.11,0.03,0.0,0.01,0.15,False
The Terminator: Dawn of Fate,XB,2002,Action,Atari,0.11,0.03,0.0,0.01,0.15,True
Infected,PSP,2005,Shooter,THQ,0.14,0.0,0.0,0.01,0.15,False
Doctor Who: Evacuation Earth,DS,2010,Adventure,Asylum Entertainment,0.0,0.13,0.0,0.02,0.15,False
Birds of Steel,X360,2012,Simulation,Konami Digital Entertainment,0.11,0.03,0.0,0.01,0.15,True
Cars: Race-O-Rama,X360,2009,Racing,THQ,0.14,0.01,0.0,0.01,0.15,True
Scooby-Doo! Unmasked,GC,2005,Platform,THQ,0.12,0.03,0.0,0.0,0.15,True
Theatrhythm Dragon Quest,3DS,2015,Misc,Square Enix,0.0,0.0,0.15,0.0,0.15,False
Streak: Hoverboard Racing,PS,1998,Racing,GT Interactive,0.09,0.06,0.0,0.01,0.15,False
NBA Street Homecourt,PS3,2007,Sports,Electronic Arts,0.12,0.01,0.0,0.02,0.15,True
Darksiders II,PC,2012,Action,Nordic Games,0.03,0.1,0.0,0.02,0.15,True
Enthusia Professional Racing,PS2,2005,Racing,Konami Digital Entertainment,0.07,0.06,0.0,0.02,0.15,False
DiRT 3,PC,2011,Racing,Codemasters,0.0,0.13,0.0,0.03,0.15,True
NCAA GameBreaker 2001,PS2,2000,Sports,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,True
Disgaea 4: A Promise Unforgotten,PSV,2014,Role-Playing,Nippon Ichi Software,0.03,0.03,0.08,0.02,0.15,True
Get On Da Mic,PS2,2004,Misc,Eidos Interactive,0.07,0.06,0.0,0.02,0.15,False
Darksiders II,WIIU,2012,Action,THQ,0.07,0.07,0.0,0.01,0.15,True
Gunslingers,WII,2010,Shooter,Neko Entertainment,0.07,0.06,0.0,0.02,0.15,False
Army Men: Sarge's War,GC,2004,Shooter,Global Star,0.12,0.03,0.0,0.0,0.15,True
Amagami,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.15,0.0,0.15,True
Jikkyou Powerful Pro Yakyuu 2009,PS2,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,False
Block Party,WII,2008,Misc,Activision,0.14,0.0,0.0,0.01,0.15,False
Little League World Series Baseball 2009,WII,2009,Sports,Activision,0.14,0.0,0.0,0.01,0.15,True
Kidou Senkan Nadesico,SAT,1997,Strategy,Sega,0.0,0.0,0.15,0.0,0.15,False
Blitz: The League II,PS3,2008,Sports,Midway Games,0.11,0.02,0.0,0.02,0.15,True
Arcade Zone,WII,2009,Misc,Activision,0.14,0.0,0.0,0.01,0.15,False
Project Sylpheed: Arc of Deception,X360,2006,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01,0.15,False
Bigfoot: Collision Course,DS,2009,Racing,Zoo Digital Publishing,0.14,0.0,0.0,0.01,0.15,True
Frogger's Adventures: The Rescue,GC,2003,Platform,Konami Digital Entertainment,0.12,0.03,0.0,0.0,0.15,True
NHL 2K10,PS3,2009,Sports,Take-Two Interactive,0.13,0.01,0.0,0.01,0.15,True
Family Party: Fitness Fun,WII,2010,Sports,D3Publisher,0.14,0.0,0.0,0.01,0.15,False
The Secret Saturdays: Beasts of the 5th Sun,PS2,2009,Action,D3Publisher,0.05,0.02,0.0,0.08,0.15,True
Michael Jackson: The Experience,PSP,2010,Misc,Ubisoft,0.11,0.03,0.0,0.02,0.15,True
MLB Power Pros 2008,PS2,2008,Sports,Konami Digital Entertainment,0.05,0.04,0.05,0.01,0.15,True
Sonny with a Chance,DS,2010,Action,Disney Interactive Studios,0.12,0.02,0.0,0.01,0.15,False
The Fairly Odd Parents: Clash with the Anti-World,GBA,2005,Adventure,THQ,0.11,0.04,0.0,0.0,0.15,False
WordJong,DS,2007,Puzzle,White Park Bay Software,0.13,0.01,0.0,0.01,0.15,False
Tears to Tiara II: Heir of the Overlord,PS3,2013,Role-Playing,Nippon Ichi Software,0.07,0.01,0.06,0.02,0.15,False
Puzzle Quest: Galactrix,DS,2009,Puzzle,D3Publisher,0.14,0.0,0.0,0.01,0.15,False
The Amazing Spider-Man (Console Version),WII,2012,Action,Activision,0.1,0.04,0.0,0.01,0.15,True
de Blob 2,X360,2011,Platform,THQ,0.1,0.04,0.0,0.01,0.15,True
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,Activision,0.08,0.06,0.0,0.01,0.15,False
Gundam Breaker 2,PSV,2014,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,True
Major League Baseball 2K10,DS,2010,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,True
Samurai Warriors: Katana,WII,2007,Action,Tecmo Koei,0.11,0.0,0.04,0.01,0.15,False
NBA 09: The Inside,PS3,2008,Sports,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,True
Jikkyou Powerful Pro Yakyuu 2012,PSP,2012,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,True
Kingdom of Paradise,PSP,2005,Role-Playing,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,False
All Japan Pro Wrestling featuring Virtua,SAT,1997,Fighting,Sega,0.0,0.0,0.15,0.0,0.15,False
Naruto Shippuden: Legends: Akatsuki Rising,PSP,2009,Fighting,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,False
Marvel Super Hero Squad: The Infinity Gauntlet,X360,2010,Action,THQ,0.12,0.02,0.0,0.01,0.15,True
Rudra no Hihou,SNES,1996,Role-Playing,SquareSoft,0.0,0.0,0.15,0.0,0.15,False
Bleach: Dark Souls,DS,2007,Fighting,Sega,0.12,0.02,0.0,0.01,0.15,False
Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,0.12,0.02,0.0,0.01,0.15,True
Prince of Persia: The Sands of Time,GBA,2003,Action,Ubisoft,0.11,0.04,0.0,0.0,0.15,True
Zoids: Battle Legends,GC,2003,Action,Tomy Corporation,0.12,0.03,0.0,0.0,0.15,False
Ice Age 2: The Meltdown,DS,2006,Platform,Vivendi Games,0.13,0.01,0.0,0.01,0.15,True
Prince of Persia: The Forgotten Sands,DS,2010,Action,Ubisoft,0.14,0.01,0.0,0.01,0.15,True
World Series Baseball 2K3,XB,2003,Sports,Sega,0.11,0.03,0.0,0.01,0.15,True
Tokyo Xanadu,PSV,2015,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.15,0.0,0.15,False
Serious Sam,XB,2002,Shooter,Take-Two Interactive,0.11,0.03,0.0,0.01,0.15,False
Bomberman,DS,2005,Puzzle,Ubisoft,0.1,0.01,0.03,0.01,0.15,True
Kowloon's Gate,PS,1997,Adventure,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15,False
Killer7,GC,2005,Action,Capcom,0.12,0.03,0.0,0.0,0.15,True
Super Monkey Ball Adventure,GC,2006,Platform,Sega,0.12,0.03,0.0,0.0,0.15,True
FIFA Soccer 2002,PS,2001,Sports,Electronic Arts,0.08,0.06,0.0,0.01,0.15,True
Street Fighter Anniversary Collection,XB,2004,Fighting,Capcom,0.11,0.03,0.0,0.01,0.15,True
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,True
Suzumiya Haruhi no Yakusoku,PSP,2007,Adventure,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,False
Shadow Ops: Red Mercury,XB,2004,Shooter,Atari,0.11,0.03,0.0,0.01,0.15,False
Indigo Prophecy,PS2,2005,Adventure,Atari,0.07,0.06,0.0,0.02,0.15,True
FIFA 06: Road to FIFA World Cup,X360,2005,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15,False
World League Soccer,SNES,1991,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15,False
NBA ShootOut 2001,PS2,2001,Sports,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,True
Final Fantasy XI: Vana'diel Collection 2008,X360,2007,Role-Playing,Square Enix,0.13,0.0,0.01,0.01,0.15,True
Farm Frenzy: Animal Country,DS,2009,Simulation,City Interactive,0.13,0.01,0.0,0.01,0.15,False
We Sing UK Hits,WII,2011,Misc,Nordic Games,0.0,0.13,0.0,0.02,0.15,False
Samurai Shodown Anthology,PS2,2008,Fighting,Ignition Entertainment,0.07,0.06,0.0,0.02,0.15,True
Musashi: Samurai Legend,PS2,2005,Role-Playing,Atari,0.07,0.06,0.0,0.02,0.15,False
Build-A-Bear Workshop: Welcome to Hugsville,DS,2010,Misc,Game Factory,0.14,0.0,0.0,0.01,0.15,False
LEGO The Hobbit,PSV,2014,Action,Warner Bros. Interactive Entertainment,0.02,0.09,0.0,0.03,0.15,True
The Oregon Trail,WII,2011,Simulation,Crave Entertainment,0.14,0.0,0.0,0.01,0.15,True
Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,False
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0.0,0.01,0.15,True
F1 2001,PS2,2001,Racing,Electronic Arts,0.07,0.06,0.0,0.02,0.15,True
Darksiders,PC,2010,Action,THQ,0.07,0.06,0.0,0.02,0.15,True
J-League Victory Goal,SAT,1995,Sports,Sega,0.0,0.0,0.15,0.0,0.15,False
Top Gun: Combat Zones,GC,2002,Simulation,Titus,0.12,0.03,0.0,0.0,0.15,True
Countdown: The Game,DS,2009,Puzzle,Mindscape,0.0,0.14,0.0,0.01,0.15,True
Spongebob Squarepants / Fairly Odd Parents Double Pack,GBA,2005,Action,THQ,0.11,0.04,0.0,0.0,0.15,False
Pro Baseball Spirits 2015,PS3,2015,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,True
NHL 09,PS2,2008,Sports,Electronic Arts,0.07,0.06,0.0,0.02,0.15,True
History Civil War: Secret Missions,PS2,2008,Shooter,Activision,0.07,0.06,0.0,0.02,0.15,True
Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,Take-Two Interactive,0.12,0.02,0.0,0.02,0.15,True
Dark Rift,N64,1997,Fighting,Vic Tokai,0.12,0.03,0.0,0.0,0.15,False
Derby Stallion 64,N64,2001,Sports,Media Factory,0.0,0.0,0.15,0.0,0.15,False
Doraemon 3: Nobi Dai no Machi SOS!,N64,2000,Platform,Epoch,0.0,0.0,0.09,0.06,0.15,False
Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,0.12,0.03,0.0,0.0,0.15,False
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,True
Burger Island,WII,2009,Action,Destineer,0.14,0.0,0.0,0.01,0.15,True
Cake Mania: In The Mix!,WII,2008,Puzzle,Majesco Entertainment,0.14,0.0,0.0,0.01,0.15,False
T'ai Fu: Wrath of the Tiger,PS,1998,Action,Activision,0.08,0.06,0.0,0.01,0.15,False
Rocky,XB,2002,Fighting,Rage Software,0.11,0.03,0.0,0.01,0.15,True
Ford Racing 2,XB,2003,Racing,Empire Interactive,0.11,0.03,0.0,0.01,0.15,True
Kids Learn Math: A+ Edition,DS,2011,Misc,Unknown,0.14,0.0,0.0,0.01,0.15,False
Rock Band: Metal Track Pack,X360,2009,Misc,MTV Games,0.14,0.0,0.0,0.01,0.15,True
Megamind: Ultimate Showdown,PS3,2010,Action,THQ,0.07,0.05,0.0,0.02,0.15,True
Space Invaders Extreme,DS,2008,Shooter,Square Enix,0.12,0.01,0.01,0.01,0.15,True
Tetris Attack,SNES,1995,Puzzle,Nintendo,0.0,0.0,0.15,0.0,0.15,True
Thor: God of Thunder,WII,2011,Action,Sega,0.1,0.04,0.0,0.01,0.15,True
Petz: Dogz Talent Show,DS,2009,Simulation,Ubisoft,0.14,0.0,0.0,0.01,0.15,False
BloodRayne 2,XB,2004,Shooter,THQ,0.11,0.03,0.0,0.01,0.15,True
Jaws Unleashed,XB,2006,Action,THQ,0.11,0.03,0.0,0.01,0.15,True
Pro Yaky? Spirits 6,PS3,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,True
Star Trek: Voyager Elite Force,PS2,2001,Shooter,Codemasters,0.07,0.06,0.0,0.02,0.15,False
X-Men: The Official Game,GC,2006,Action,Activision,0.12,0.03,0.0,0.0,0.15,True
The Sims Medieval: Pirates and Nobles,PC,2011,Simulation,Electronic Arts,0.05,0.08,0.0,0.02,0.15,False
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15,True
Brain Boost: Gamma Wave,DS,2005,Puzzle,505 Games,0.14,0.0,0.0,0.01,0.15,False
Chessmaster II,PS,1998,Strategy,Mindscape,0.08,0.06,0.0,0.01,0.15,False
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,0.11,0.04,0.0,0.0,0.15,True
Major League Baseball 2K12,WII,2012,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,True
Scooby-Doo! Mystery Mayhem,XB,2004,Action,THQ,0.11,0.03,0.0,0.01,0.15,True
Winning Post 4,PS,1999,Sports,Tecmo Koei,0.0,0.0,0.14,0.01,0.15,False
Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013,Action,Konami Digital Entertainment,0.04,0.07,0.03,0.01,0.15,False
187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,True
Dishonored,XONE,2015,Action,Bethesda Softworks,0.09,0.05,0.0,0.01,0.15,True
Curious George,GC,2006,Action,Namco Bandai Games,0.11,0.03,0.0,0.0,0.15,True
Battleborn,XONE,2016,Shooter,Take-Two Interactive,0.1,0.04,0.0,0.01,0.15,True
Geist,GC,2005,Adventure,Nintendo,0.11,0.03,0.0,0.0,0.15,False
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15,False
Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,0.08,0.06,0.0,0.01,0.15,False
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,0.0,0.04,0.1,0.01,0.15,True
The Incredibles: Rise of the Underminer,DS,2005,Action,THQ,0.13,0.01,0.0,0.01,0.15,True
Deadly Premonition,PS3,2010,Action,Rising Star Games,0.08,0.04,0.0,0.02,0.15,True
Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,0.11,0.04,0.0,0.0,0.15,True
Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,1997,Shooter,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,False
Super Street Fighter II,GEN,1993,Fighting,Capcom,0.0,0.0,0.15,0.0,0.15,False
Deponia,PC,2012,Adventure,Daedalic,0.0,0.13,0.0,0.02,0.15,False
Metal Gear Solid: Peace Walker HD Edition,PS3,2011,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,False
Battle Stadium D.O.N,PS2,2006,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,True
Ridge Racer DS,DS,2004,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,False
High Velocity Bowling,PS3,2010,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.15,False
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15,False
The Quest Trio,DS,2008,Puzzle,Avanquest,0.13,0.0,0.0,0.01,0.15,False
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.01,0.15,False
Brain Boost: Beta Wave,DS,2005,Puzzle,505 Games,0.14,0.0,0.0,0.01,0.15,False
Power Pro Kun Pocket 9,DS,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,False
Shenmue II,DC,2001,Adventure,Sega,0.0,0.0,0.15,0.0,0.15,True
Armored Core: For Answer,X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15,True
Sumikko Gurashi: Omise Hajimerundesu,3DS,2015,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,False
Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,0.07,0.06,0.0,0.02,0.15,True
Capcom Classics Collection,XB,2005,Misc,Capcom,0.11,0.03,0.0,0.01,0.15,True
Fugitive Hunter: War on Terror,PS2,2003,Shooter,Play It,0.07,0.06,0.0,0.02,0.15,False
The Incredible Hulk: Ultimate Destruction,GC,2005,Action,Vivendi Games,0.11,0.03,0.0,0.0,0.15,True
Candace Kane's Candy Factory,WII,2008,Action,Destineer,0.14,0.0,0.0,0.01,0.15,True
Prince of Persia: The Two Thrones,GC,2005,Action,Ubisoft,0.11,0.03,0.0,0.0,0.15,True
Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,Ubisoft,0.1,0.03,0.0,0.02,0.15,True
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,2011,Adventure,Banpresto,0.0,0.0,0.15,0.0,0.15,False
Pac-Man World 3,XB,2005,Platform,Namco Bandai Games,0.11,0.04,0.0,0.01,0.15,True
SNK Arcade Classics Vol. 1,PSP,2008,Misc,Ignition Entertainment,0.13,0.0,0.01,0.01,0.15,True
Phantasy Star Online Episode I & II,XB,2003,Role-Playing,Sega,0.11,0.03,0.0,0.01,0.15,True
The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.11,0.01,0.15,True
Sam & Max: Season One,WII,2008,Adventure,JoWood Productions,0.13,0.01,0.0,0.01,0.15,False
Backyard Sports: Sandlot Sluggers,WII,2010,Sports,Atari,0.14,0.0,0.0,0.01,0.15,True
Batman Begins,GC,2005,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.15,True
Yakuza: Ishin,PS4,2014,Action,Sega,0.0,0.0,0.15,0.0,0.15,True
Nancy Drew: The White Wolf of Icicle Creek,WII,2008,Adventure,Sega,0.14,0.0,0.0,0.01,0.15,False
Toy Story Racer,PS,2001,Racing,Activision,0.08,0.06,0.0,0.01,0.15,False
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,Ubisoft,0.08,0.06,0.0,0.01,0.15,True
Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15,False
Galerians,PS,1999,Adventure,Crave Entertainment,0.08,0.06,0.0,0.01,0.15,False
Ys: The Oath in Felghana,PSP,2010,Role-Playing,Falcom Corporation,0.09,0.0,0.04,0.01,0.15,False
Crash: Twinsanity,XB,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.15,True
We Dance,WII,2011,Misc,Nordic Games,0.0,0.13,0.0,0.02,0.15,False
Space Camp,DS,2009,Action,Activision,0.14,0.0,0.0,0.01,0.15,True
DrumMania,PS2,2000,Simulation,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,False
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,False
Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005,Action,Konami Digital Entertainment,0.15,0.0,0.0,0.0,0.15,False
SpongeBob's Truth or Square,DS,2009,Action,THQ,0.07,0.07,0.0,0.01,0.15,True
Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,False
Arena Football,XB,2006,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15,True
Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.15,False
Medal of Honor: Infiltrator,GBA,2003,Shooter,Electronic Arts,0.11,0.04,0.0,0.0,0.15,False
Skylanders: SuperChargers,WII,2015,Action,Activision,0.02,0.12,0.0,0.01,0.15,True
Blazing Dragons,PS,1996,Adventure,Crystal Dynamics,0.08,0.06,0.0,0.01,0.15,False
Lego Star Wars: The Force Awakens,WIIU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,True
Victorious: Hollywood Arts Debut,DS,2011,Misc,D3Publisher,0.13,0.01,0.0,0.01,0.15,False
